Date,Region,Place,Trigger,Weak Layer,Depth,Width,Vertical,Aspect,Elevation,Coordinates,Caught,Carried,Buried - Partly,Buried - Fully,Injured,Killed
4/13/2019,Salt Lake,Mill B South,Natural,,"10""",50',,South,"9,000'",,,,,,,
4/13/2019,Salt Lake,Blue Ice,Natural,,,100',,Northeast,"10,000'",,,,,,,
4/12/2019,Salt Lake,Y Coulior,Skier,,"15""",,,North,"7,500'",,,1,,,,
4/12/2019,Salt Lake,Superior,Snowboarder,,"6""",60',,Southeast,"10,800'","40.590618742883, -111.665891992170",,,,,,
4/12/2019,Salt Lake,Key hole,Skier,New Snow/Old Snow Interface,"18""",60',400',North,"10,300'",,,,,,,
4/11/2019,Salt Lake,Scotties Bowl,Skier,,2',70',,North,"9,800'","40.563710186148, -111.676605989130",,1,,,,
4/11/2019,Salt Lake,Butler Basin,Snowboarder,,"12""",30',,East,"9,800'","40.667521078724, -111.680724608000",,,,,,
4/11/2019,Provo,Mill Canyon Peak,Skier,,"4""",20',,Southwest,"7,900'","40.494236792775, -111.622810350970",,,,,,
4/10/2019,Salt Lake,Scotties Bowl,Skier,,"4""",80',,Northeast,"9,700'","40.564324908103, -111.678629872480",,,,,,
4/10/2019,Salt Lake,West Porter,Skier,,"8""",30',,North,"9,200'",,,,,,,
4/10/2019,Salt Lake,Kessler Slabs,Skier,,"8""",40',,Northeast,"9,900'","40.629013041300, -111.664993116870",,1,,,,
4/10/2019,Logan,"North Fork, Shumway Canyon",Natural,,,150',"1,250'",Northeast,"8,600'","41.653418985606, -112.012889372370",,,,,,
4/10/2019,Salt Lake,Chicken Sh#! Ridge,Skier,,"6""",50',,East,"10,000'",,,,,,,
4/10/2019,Salt Lake,Catchers Mit,Natural,,"10""",30',,East,"9,600'","40.626102775762, -111.664583074150",,,,,,
4/9/2019,Salt Lake,Broads Fork,Natural,Ground Interface,5',90',600',East,"9,000'",,,,,,,
4/9/2019,Salt Lake,Memorials,Natural,,,,,Northeast,,"40.665754630308, -111.768454971000",,,,,,
4/9/2019,Skyline,Chute Camp Site,Natural,Facets,5',"3,500'",700',Northeast,"9,200'","39.567046381115, -111.186318384780",,,,,,
4/8/2019,Salt Lake,High Pockets,Natural,,,,,East,"10,000'",,,,,,,
4/7/2019,Salt Lake,Diving Board,Natural,Ground Interface,,200',,Northeast,"10,000'",,,,,,,
4/6/2019,Salt Lake,Emma Ridges,Skier,,"6""",10',,South,"9,300'",,,,,,,
4/6/2019,Provo,Bob's Knob,Natural,,"6""",100',,Southeast,"7,800'","40.415611219764, -111.610446037970",,,,,,
4/5/2019,Skyline,Forks of the Huntington,Natural,Facets,,,,Northeast,"8,400'","39.497604419549, -111.160655008920",,,,,,
4/5/2019,Salt Lake,Blue Ice,Natural,Ground Interface,10',300',"2,500'",East,"11,000'",,,,,,,
4/5/2019,Salt Lake,Tuscarora,Natural,,,,,North,"10,400'","40.584886913583, -111.599163996280",,,,,,
4/4/2019,Salt Lake,Kessler Slabs,Natural,,,,,Northeast,"9,400'",,,,,,,
4/3/2019,Salt Lake,Sliver peak,Skier,,"4""",10',,Northeast,"9,800'",,,,,,,
4/3/2019,Logan,East Faces-Wellsville Range,Natural,New Snow,,300',"1,250'",East,"8,800'","41.628916335703, -112.003297792930",,,,,,
4/3/2019,Salt Lake,Claytons,Skier,,"8""",350',,Northeast,"10,700'","40.591000169299, -111.559292427400",,,,,,
4/3/2019,Salt Lake,West Porter,Natural,,,,,North,"8,800'",,,,,,,
4/3/2019,Salt Lake,Santiago Ridge,Natural,,,300',,Northeast,"10,000'",,,,,,,
3/31/2019,Salt Lake,Bonkers,Natural,Ground Interface,2.5',150',500',Northeast,"9,600'",,,,,,,
3/31/2019,Salt Lake,West Couloir,Skier,,"8""",30',,South,"9,000'","40.625059654688, -111.677591410680",,,,,,
3/31/2019,Ogden,Powder Mountain Backcountry,Skier,,"10""",100',,North,"8,200'","41.399241464615, -111.736485721760",,,,,,
3/31/2019,Ogden,Snowbasin Backcountry,Skier,,"14""",30',,East,"9,400'","41.201386923756, -111.878351106670",,,,,,
3/30/2019,Ogden,Ogden,Snowboarder,New Snow/Old Snow Interface,"12""",300',"1,250'",East,"9,200'","41.396191737175, -111.787497984470",1,1,,,,
3/30/2019,Logan,Whites Canyon,Snow Bike,Surface Hoar,2',500',300',Northeast,"9,000'",,2,2,2,,,
3/30/2019,Salt Lake,Hypodermic Needle,Natural,Graupel,3',100',,East,"10,400'",,,,,,,
3/30/2019,Salt Lake,Argenta,Skier,,"10""",150',,Northwest,"10,100'","40.627156078994, -111.668226084030",,,,,,
3/30/2019,Salt Lake,Silver Fork,Skier,,"10""",25',,East,"9,700'","40.557634656803, -111.689414965220",,1,,,,
3/30/2019,Salt Lake,Holy Toledo,Skier,,"6""",30',,West,"10,000'","40.600940499812, -111.647761451010",,1,,,,
3/30/2019,Salt Lake,Superior,Natural,,,,,South,"11,000'","40.592089303617, -111.662249552310",,,,,,
3/30/2019,Logan,Bloomington Lake Area,Snowmobiler,,"20""",60',,North,"8,500'","42.154977111705, -111.595081674180",1,1,,,,
3/29/2019,Salt Lake,Argenta,Skier,,"5""",30',,Northwest,"8,600'","40.632514657669, -111.672735413700",,,,,,
3/29/2019,Ogden,Hells Canyon,,,,,,,,,,,,,,
3/29/2019,Salt Lake,Summit Park,Skier,Density Change,"8""",50',70',North,"8,500'","40.728494601944, -111.613154398510",,,,,,
3/29/2019,Salt Lake,South Monitor Bowl,Natural,Density Change,"18""",200',800',Northeast,"9,900'",,,,,,,
3/29/2019,Salt Lake,South Monitor Bowl,Natural,Density Change,2',60',,North,"9,700'",,,,,,,
3/29/2019,Logan,Cherry Creek Canyon,Snowboarder,,"6""",10',,North,"6,000'","41.918852395504, -111.753154980240",,,,,,
3/29/2019,Logan,Providence Canyon,,,,,,,,,,,,,,
3/29/2019,Salt Lake,Days Draw,Skier,New Snow/Old Snow Interface,"14""",50',200',Northeast,"9,600'",,,,,,,
3/29/2019,Ogden,North Ogden Divide,Skier,Density Change,"10""",300',50',East,"6,800'","41.316690460433, -111.894893633400",,,,,,
3/29/2019,Salt Lake,Brighton Hill,Skier,,"12""",45',,South,"9,600'",,,,,,,
3/29/2019,Logan,Cherry Creek Canyon,Skier,,"4""",5',,North,"6,100'","41.925522736521, -111.748376969670",,,,,,
3/26/2019,Salt Lake,Hogum,Skier,,"20""",80',,West,"10,200'","40.546343703378, -111.712361933890",,1,,,,
3/26/2019,Salt Lake,Cardiac Ridge,Skier,,"8""",30',,Northeast,"10,800'","40.597400976594, -111.668043123780",,,,,,
3/26/2019,Logan,Saint Charles Peak,Snow Bike,New Snow/Old Snow Interface,"10""",50',150',Northeast,"9,100'","42.090627390318, -111.576526152220",,,,,,
3/26/2019,Salt Lake,Blue Ice,Natural,,,100',,Northeast,"10,500'",,,,,,,
3/25/2019,Ogden,Hells Canyon,Unknown,,"12""",50',,Northeast,"8,200'","41.213400275128, -111.878214316650",,,,,,
3/25/2019,Ogden,Ogden,Skier,Surface Hoar,2',150',250',Northeast,"8,400'",,1,1,1,,,
3/25/2019,Logan,Tony Grove,Snowboarder,New Snow/Old Snow Interface,2.5',40',500',North,"9,000'",,,,,,,
3/25/2019,Uintas,Bald Mountain,Natural,New Snow/Old Snow Interface,"18""",200',450',Southeast,"11,400'","40.693199230583, -110.906016813930",,,,,,
3/24/2019,Provo,Big Horn Peak,Natural,Density Change,"12""",150',,West,"10,300'","40.518766335353, -111.743670689160",,,,,,
3/24/2019,Provo,Elk Point,Natural,,,,,Northeast,,"40.401363804572, -111.612591805190",,,,,,
3/24/2019,Salt Lake,East Bowl,Skier,,"8""",20',,West,"10,000'","40.985988705279, -114.250087724870",,,,,,
3/24/2019,Salt Lake,White Baldy,Skier,,3',,,North,"10,800'","40.532616923476, -111.678770496610",1,1,,,,
3/24/2019,Salt Lake,Birthday Chutes,Skier,,"6""",50',,Northwest,"10,100'",,,,,,,
3/24/2019,Salt Lake,Patsy Marly,Skier,,"10""",50',,West,"10,000'","40.588499618847, -111.612614921860",,,,,,
3/24/2019,Salt Lake,East Bowl,Skier,,"6""",,,Northwest,"9,900'",,,,,,,
3/24/2019,Salt Lake,Catchers Mit,Snowboarder,,,20',,North,"9,600'",,,,,,,
3/24/2019,Salt Lake,Upper Meadow Chutes,Skier,New Snow,"8""",40',250',East,"8,600'",,,,,,,
3/24/2019,Salt Lake,Cardiac Bowl,Skier,Density Change,"12""","1,000'",700',Northeast,"10,900'",,6,6,2,,1,
3/24/2019,Salt Lake,Gobblers Knob,Skier,,"4""",40',,East,"10,100'","40.668041899963, -111.684286581570",,,,,,
3/24/2019,Salt Lake,Banana Days,Skier,,"6""",,,Northeast,"10,100'","40.607282255418, -111.642632424500",,,,,,
3/24/2019,Salt Lake,White Pine,Natural,,"10""",,,North,"9,500'",,,,,,,
3/24/2019,Salt Lake,Birthday Chutes,Skier,,"12""",150',,North,"10,700'","40.552478787738, -111.666144119810",,,,,,
3/24/2019,Salt Lake,Wolverine Cirque,Skier,,"6""",30',,Northeast,"10,300'",,,,,,,
3/24/2019,Salt Lake,Grizzly Gulch,Skier,,"12""",20',,Southeast,,,,1,,,,
3/24/2019,Salt Lake,Mill B South,Skier,,"12""",25',,Northwest,"9,200'","40.611248446103, -111.696066843570",,,,,,
3/23/2019,Provo,Timpanogos,Unknown,,,,,Southwest,,"40.396764305019, -110.582885729530",,,,,,
3/23/2019,Salt Lake,East Bowl,Natural,,,60',,North,"10,000'","40.601669561293, -111.619882049280",,,,,,
3/23/2019,Salt Lake,Davenport Hill,Skier,,"12""",,,North,"10,000'","40.600854966938, -111.619849192210",,,,,,
3/23/2019,SE Idaho,Danish Pass,Skier,Surface Hoar,"12""",150',500',North,"8,800'","42.114910196831, -111.587244929990",,,,,,
3/23/2019,Skyline,Huntington Canyon,Natural,Facets,3',60',300',East,"8,600'","39.496044653514, -111.157436358110",,,,,,
3/23/2019,Salt Lake,Bonkers,Natural,,,,,Northeast,"9,700'","40.595185115241, -111.716784225990",,,,,,
3/22/2019,Logan,Central Bear River Range,Snowboarder,New Snow/Old Snow Interface,"8""",50',500',North,"9,500'",,1,,,,,
3/21/2019,Salt Lake,Flanigans,Skier,New Snow/Old Snow Interface,"6""",80',300',North,"10,000'",,,,,,,
3/20/2019,Salt Lake,Stairs Gulch,Skier,Facets,,50',,North,"8,900'",,1,1,,,1,
3/20/2019,Ogden,Taylor Canyon,Skier,Facets,,,200',Northeast,"7,400'",,1,1,,,,
3/19/2019,Salt Lake,Mill B South,Natural,,,700',,West,,,,,,,,
3/18/2019,Uintas,Upper Weber Canyon,Natural,Ground Interface,2',100',300',East,"10,500'","40.845956581824, -111.066842066440",,,,,,
3/18/2019,SE Idaho,Andrew Nyman Peak,Unknown,Wet grains,,,,East,"9,200'","42.048400338874, -111.649031626290",,,,,,
3/18/2019,Salt Lake,Diving Board,Natural,Ground Interface,,,,Northeast,"10,500'",,,,,,,
3/16/2019,Provo,Cascade Ridge,Natural,Wet grains,6',500',"2,000'",Southwest,"10,400'","41.934976499795, -111.824340807490",,,,,,
3/16/2019,Salt Lake,Red Top,Natural,,,,,West,"10,800'","40.543515189768, -111.664363803590",,,,,,
3/16/2019,Salt Lake,Salt Lake foothills,Skier,,"6""",15',,North,"5,900'","40.855628178797, -111.824545192330",,,,,,
3/16/2019,Salt Lake,Toledo Chutes,Skier,,"1""",50',,Southeast,"10,000'","40.594320476171, -111.657375803040",,1,,,,
3/16/2019,Ogden,Ogden,,New Snow/Old Snow Interface,"7""",200',150',North,"8,800'","41.400247948893, -111.789364801930",,,,,,
3/16/2019,Salt Lake,Reynolds Pk,Skier,,"4""",80',,East,"9,200'","40.664201820258, -111.643603057400",,,,,,
3/15/2019,Salt Lake,Maybird Chute,Natural,,,50',,South,,,,,,,,
3/15/2019,Provo,Mt Nebo,Unknown,,,,,North,"9,000'","39.783307235227, -111.798743481030",,,,,,
3/15/2019,Logan,Central Bear River Range,Snowboarder,Surface Hoar,2',25',,North,"9,000'",,,,,,,
3/15/2019,Salt Lake,Chipman Peak,Natural,New Snow/Old Snow Interface,"14""",300',"1,000'",Southeast,"10,700'","40.523798391268, -111.721633659910",,,,,,
3/15/2019,Salt Lake,Red Top,Natural,,2',300',,West,"10,700'","40.544460928383, -111.663627537200",,,,,,
3/14/2019,Salt Lake,Georges Bowl,Skier,,2',100',,Northeast,"9,900'",,,,,,,
3/14/2019,Salt Lake,Greaseball,Skier,,2.5',50',,Northwest,"10,000'","40.628073332280, -111.669330584120",,,,,,
3/14/2019,Salt Lake,Salt Lake,Skier,New Snow,"20""",150',500',East,"10,000'","40.667163796300, -111.683779274840",,,,,,
3/14/2019,Logan,Tony Grove,Snowmobiler,New Snow/Old Snow Interface,"8""",40',,East,"9,000'","41.903937963467, -111.660361277180",,,,,,
3/14/2019,Salt Lake,Emma Ridges,Skier,,"12""",20',,South,"9,700'","40.598084762729, -111.631648900220",,,,,,
3/13/2019,Moab,Noriega Face,Natural,,,"1,500'",,Northeast,"10,600'","38.459268157278, -109.270319926190",,,,,,
3/13/2019,Moab,Middle Cirque,Natural,,,500',,Northeast,"11,800'","38.441052011859, -109.255835997500",,,,,,
3/13/2019,Moab,Moab,Natural,,,700',"2,000'",West,"11,800'","38.440379741399, -109.264934050480",,,,,,
3/13/2019,Moab,Middle Cirque,Natural,,,350',,,"11,600'","38.442564597502, -109.250814902230",,,,,,
3/13/2019,Moab,Mt. Haystack,Natural,,,300',,Southwest,"11,000'","38.497399613820, -109.251565920740",,,,,,
3/13/2019,Moab,Upper Horse Creek,Natural,,,400',,,"11,200'","38.462729377090, -109.241952883640",,,,,,
3/13/2019,Moab,Dark Canyon,Natural,,,,,,"11,800'","38.454260856070, -109.229593264510",,,,,,
3/13/2019,Moab,Talking Mountain Cirque,Natural,,,"2,500'",,,"11,600'","38.443035173238, -109.248175608560",,,,,,
3/13/2019,Moab,The Funnel,Natural,,,300',,Southwest,"11,200'","38.457957554972, -109.250750529220",,,,,,
3/13/2019,Salt Lake,Mt Olympus,Skier,,"18""",35',,Northeast,"7,600'",,,,,,,
3/13/2019,Abajos,Abajos,Natural,New Snow/Old Snow Interface,2',100',700',East,"10,700'","37.847951430049, -109.452710139170",,,,,,
3/13/2019,Moab,Dory Canyon,Natural,,,900',,North,"11,200'","38.451236143354, -109.267230021390",,,,,,
3/13/2019,Moab,Talking Mountain Cirque,Natural,,,500',,West,"11,600'","38.444984668602, -109.241566645550",,,,,,
3/13/2019,Moab,Gold Basin,Natural,,,"1,500'",,,"11,600'","38.450093441105, -109.239420878330",,,,,,
3/13/2019,Moab,Moab,Natural,,4',50',100',West,"11,200'",,,,,,,
3/13/2019,Moab,Exxons Folley,Natural,,,"1,500'","1,250'",North,"11,200'","38.451269751969, -109.264504897040",,,,,,
3/13/2019,Moab,South Mountain,Natural,,,500',,,"11,200'","38.410760015746, -109.259676920810",,,,,,
3/11/2019,Salt Lake,Wolverine Cirque,Snowboarder,,"8""",30',,East,"10,500'",,,,,,,
3/11/2019,Salt Lake,Banana Days,Unknown,,"2""",100',,Northeast,"10,200'","40.609406694446, -111.643946158010",,,,,,
3/11/2019,Salt Lake,Mineral Fork,Natural,,,20',,West,"7,000'",,,,,,,
3/11/2019,Salt Lake,Room of Doom,Skier,,"8""",30',,North,"10,400'",,,,,,,
3/10/2019,Salt Lake,Tri Chutes,Skier,,"14""",50',,West,"10,500'","54.167791840053, -124.643379435240",,,,,,
3/9/2019,Logan,White Pine Canyon,Snowmobiler,Facets,2',250',200',Southeast,"8,400'","41.928782771494, -111.644182192400",,,,,,
3/9/2019,Logan,Mitton Peak,Natural,,,,,Southeast,"8,000'","41.608255033203, -111.996045099770",,,,,,
3/9/2019,Salt Lake,South Monitor Bowl,Skier,,"12""",40',,Northeast,"9,800'",,,,,,,
3/9/2019,Salt Lake,West Willow,Skier,,2',300',,Northeast,"9,600'","40.646843377309, -111.599092917760",,,,,,
3/9/2019,Logan,Boss Canyon,Snowmobiler,New Snow/Old Snow Interface,2',200',,South,"8,700'","41.992798154319, -111.650104509890",,,,,,
3/9/2019,Ogden,Snowbasin Backcountry,Skier,,"18""",,,Northeast,"9,000'",,1,1,1,,,
3/8/2019,Salt Lake,Brighton Perimeter,Snowboarder,,"6""",200',,Northeast,"10,100'","35.996448882160, -126.754573077410",,,,,,
3/8/2019,Salt Lake,Brighton Perimeter,Skier,Graupel,"14""",80',50',Northwest,"9,700'","40.591600478152, -111.599743353450",,,,,,
3/8/2019,Provo,Slide Canyon,Unknown,,,,,South,,"40.349160679047, -111.591171013440",,,,,,
3/8/2019,Ogden,Cutler Ridge,Skier,New Snow/Old Snow Interface,2',100',400',Northeast,"8,500'",,1,1,,,,
3/8/2019,Logan,Rock Bowl,Natural,New Snow/Old Snow Interface,"8""",50',300',East,"8,700'",,,,,,,
3/8/2019,Salt Lake,Cardiff Pass,Skier,,"21""",,,Southeast,"10,300'",,,1,,,,
3/8/2019,Moab,Above Treeline - NE face Pre-Laurel Pk.,Natural,Facets,6',"2,500'",900',Northeast,"11,600'","38.457520682244, -109.246298062250",,,,,,
3/7/2019,Skyline,Meadow Fork,Natural,,3',250',150',Northwest,"9,500'","39.439031250446, -111.377420412650",,,,,,
3/7/2019,Salt Lake,Rocky Point,Skier,,"8""",30',,Northeast,"9,500'","40.581777638804, -111.598541723810",,1,,,,
3/7/2019,Salt Lake,Jaws,Skier,,"8""",,,North,"10,000'","40.601546095252, -111.634248901780",,,,,,
3/7/2019,Logan,Logan River below Temple Fork,Natural,Wet grains,,100',700',West,"6,400'","41.824036995466, -111.598820673540",,,,,,
3/7/2019,Logan,Tony Grove Lake,Natural,New Snow,"12""",200',500',East,"9,000'","41.895121799988, -111.644439684450",,,,,,
3/7/2019,Salt Lake,Dougs Drop,Skier,,"7""",125',,Northeast,"9,200'",,,,,,,
3/7/2019,Salt Lake,Silver/Days,Skier,,"10""",80',,North,"10,000'","40.601017886602, -111.635684954250",,,,,,
3/7/2019,Salt Lake,Back Bowls,Skier,Graupel,2',300',350',Northeast,"9,900'","40.591535301154, -111.603884684160",,,,,,
3/7/2019,Salt Lake,Benson and Hedges,Skier,,"16""",30',,West,"10,000'",,,,,,,
3/7/2019,Salt Lake,Lake Peak,Skier,,"12""","2,500'",,East,"9,500'",,,2,,,,
3/7/2019,Salt Lake,South Monitor Bowl,Natural,New Snow/Old Snow Interface,"10""",300',600',Northeast,"9,900'",,,,,,,
3/7/2019,Salt Lake,White Pine,Natural,New Snow/Old Snow Interface,"20""",300',600',Northwest,"9,500'",,,,,,,
3/6/2019,Skyline,Chute Camp Site,Natural,,,,,Northeast,"9,200'","39.570658352220, -111.188421236660",,,,,,
3/6/2019,Salt Lake,Patsy Marly,,,"16""",45',,North,"10,000'","40.591897235774, -111.614631625140",,,,,,
3/6/2019,Provo,Elk Point,Natural,,,,,Northeast,"7,400'",,,,,,,
3/6/2019,Salt Lake,Y Coulior,Natural,New Snow/Old Snow Interface,,,,North,,,,,,,,
3/5/2019,Salt Lake,Caribou Basin,Snowmobiler,,2.5',,,Northeast,"9,800'","40.586027615283, -111.561698900790",,,,,,
3/5/2019,Southwest,Niotche Creek,Snowmobiler,Facets,10',800',300',Northeast,"10,400'","38.731633922534, -111.644825922560",,,,,,
3/4/2019,Salt Lake,Summit Park,Skier,,"10""",80',,North,"8,300'","40.728908743851, -111.615593197070",,,,,,
3/4/2019,Provo,Mineral Basin,Natural,Wet grains,"4""",,,South,,"40.563209884961, -111.624655710760",,,,,,
3/4/2019,Salt Lake,Silver Fork,Unknown,,"4""",,,East,"8,600'","40.621159334088, -111.620149599620",,,,,,
3/4/2019,Salt Lake,Superior,Natural,,"4""",60',,South,"8,600'","40.584691362767, -111.659996496740",,,,,,
3/4/2019,Salt Lake,Catchers Mit,Skier,,"6""",20',200',East,"9,000'",,,,,,,
3/3/2019,Salt Lake,Maybird Chute,Natural,,"4""",50',,South,"9,600'","40.584267667370, -111.709585177020",,2,,,,
3/3/2019,Salt Lake,Superior,Skier,,"6""",30',,Southeast,"10,000'","40.589525550583, -111.662531903850",,,,,,
3/3/2019,Salt Lake,Mt Olympus,Natural,,,,,Northwest,"7,700'","40.661859301257, -111.780836718360",,,,,,
3/3/2019,Salt Lake,Dougs Drop,Skier,,"5""",40',,East,"9,800'",,,,,,,
3/3/2019,Salt Lake,Patsy Marly,Skier,,"6""",40',,North,"10,500'","40.589025938402, -111.609324204050",,,,,,
3/3/2019,Southwest,Tushers,Snowboarder,,"12""",200',,East,"10,500'","38.367905640199, -112.406920547560",,,,,,
3/3/2019,Salt Lake,Patsy Marly,Snowshoer,,"8""",,,North,"10,500'","40.588797686521, -111.609062166260",,,,,,
3/3/2019,Salt Lake,Monte Cristo,Natural,,"8""",10',,South,"9,800'",,,,,,,
3/3/2019,Salt Lake,Lake Peak,Skier,,"6""",,,North,"10,500'",,,,,,,
3/2/2019,Uintas,Weber Canyon,Skier,New Snow/Old Snow Interface,"6""",20',80',North,"10,000'",,,,,,,
3/2/2019,Provo,Mt Nebo,Unknown,Density Change,,40',,Northwest,"10,400'","39.826863282071, -111.761898981640",1,1,,,,
3/2/2019,Salt Lake,Wolverine Cirque,Skier,,"4""",50',,Northwest,"10,400'","40.588162304765, -111.602420198040",,,,,,
3/1/2019,Southwest,Brianhead Backcountry,,,,,,,"10,000'",,,,,,,
2/27/2019,Ogden,Ogden,Natural,,,,,West,"8,000'","41.176845108955, -111.899185167830",,,,,,
2/26/2019,Salt Lake,Cardiff Fork,Skier,,"5""",40',,Northeast,"9,500'","40.599184508337, -111.652713628720",,,,,,
2/26/2019,Salt Lake,Martha Bowl,Snowboarder,Density Change,"6""",60',200',Northwest,"10,200'","40.581672474498, -111.588785188510",,,,,,
2/26/2019,Salt Lake,Mill A,Unknown,,"6""",30',,Northeast,"9,800'",,,,,,,
2/25/2019,Logan,Box Elder Peak,Natural,Facets,4',400',,East,"9,000'","41.638763415514, -112.013361441150",,,,,,
2/25/2019,Ogden,North Ogden Divide,Skier,Facets,"12""",100',350',Southeast,"6,700'",,1,1,,,,
2/25/2019,Salt Lake,Millie Back Bowls,Skier,Density Change,"14""",100',200',Northeast,"10,200'","40.588765219988, -111.602103697370",,,,,,
2/25/2019,Logan,East Banks,Natural,Facets,"18""",100',200',Northwest,"7,000'","41.894259283855, -111.551420675850",,,,,,
2/25/2019,Southwest,Brianhead Backcountry,,,,,,Northwest,,"37.684686378966, -112.827315317550",,,,,,
2/25/2019,Uintas,Uintas,Unknown,,,,,Northwest,"6,500'",,,,,,,
2/24/2019,Uintas,Chalk Creek,Unknown,,,300',,Northeast,"10,200'","40.847263253027, -111.068328010210",,,,,,
2/24/2019,Ogden,Banana Chute,Skier,,"6""",30',,Northwest,"8,100'","41.201700976635, -111.893067804750",,,,,,
2/24/2019,Uintas,Chalk Creek,Natural,Depth Hoar,8',200',700',Northeast,"10,300'","40.834528197905, -111.107332693730",,,,,,
2/24/2019,Salt Lake,Little Superior,Snowboarder,,,15',,Northwest,"10,200'","40.595273340057, -111.656267372620",,,,,,
2/23/2019,Ogden,Ogden,Unknown,,2',100',"1,000'",Northeast,"8,700'","41.425416554044, -111.975681768910",,,,,,
2/22/2019,Provo,UFO Bowls,Natural,,,300',,East,"9,500'","40.418144435807, -111.627874361590",,,,,,
